Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_748.jpg,-0.868942815378,0.2,0,0.0,99.67,85.589,0.0002,254.3189,-0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_781.jpg,-0.831433106832,0.2,0,0.0,99.67,85.589,0.0002,254.3189,-0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_823.jpg,-0.71102618794,0.2,0,0.0,99.67,85.589,0.0003,254.3189,-0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_875.jpg,-0.818352545621,0.2,0,0.0,99.6699,85.5885,0.0101,254.3242,-0.0003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_909.jpg,-0.818352545621,0.2,0,0.0,99.6699,85.5885,0.0101,254.3242,-0.0003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_946.jpg,-0.69592711423,0.2,0,0.0286,99.6695,85.5872,0.0399,254.4151,-0.0005
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_57_982.jpg,-1.51102806568,0.2,0,0.0401,99.6687,85.5847,0.0938,254.3391,-0.0009
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_062.jpg,-2.77385425047,0.2,0,0.049,99.6676,85.5807,0.1694,254.3364,-0.0015
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_115.jpg,-2.81325862828,0.2,0,0.047,99.6669,85.5783,0.2134,254.1437,-0.0013
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_158.jpg,-2.81325862828,0.2,0,0.047,99.6669,85.5783,0.2134,254.1437,-0.0013
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_222.jpg,-2.58837515756,0.2,0,0.0503,99.6655,85.5738,0.2901,254.2197,-0.0038
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_276.jpg,-2.43580817387,0.2,0,0.0628,99.6646,85.5708,0.3332,254.1277,-0.0047
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_374.jpg,-2.47694462963,0.2,0,0.0895,99.66,85.5559,0.5177,253.7462,0.0005
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_414.jpg,-2.47694462963,0.2,0,0.0895,99.66,85.5559,0.5177,253.7462,0.0005
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_450.jpg,-2.17504404387,0.2,0,0.1176,99.6576,85.5485,0.5932,253.7374,0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_490.jpg,-2.46634934727,0.2,0,0.1018,99.6555,85.5419,0.6284,253.617,0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_574.jpg,-2.3873338892,0.2,0,0.1237,99.6515,85.5291,0.685,253.5934,-0.0006
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_608.jpg,-2.3873338892,0.2,0,0.1237,99.6515,85.5291,0.685,253.5934,-0.0006
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_640.jpg,-2.41531437423,0.2,0,0.1326,99.6499,85.5239,0.6948,253.7197,-0.0009
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_677.jpg,-2.37430531016,0.2,0,0.1521,99.6472,85.5155,0.7118,253.8378,-0.0011
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_728.jpg,-2.19205955546,0.2,0,0.1456,99.6455,85.51,0.7092,253.9621,-0.0006
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_763.jpg,-2.19205955546,0.2,0,0.1456,99.6455,85.51,0.7092,253.9621,-0.0006
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_803.jpg,-2.15159576608,0.2,0,0.1603,99.6427,85.501,0.7098,253.8362,0.0012
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_929.jpg,-2.70959882893,0.2,0,0.175,99.6376,85.4845,0.71,254.1693,-0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_58_970.jpg,-2.70959882893,0.2,0,0.175,99.6376,85.4845,0.71,254.1693,-0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_015.jpg,-2.85202278819,0.2,0,0.1939,99.6344,85.4739,0.7037,254.2664,-0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_067.jpg,-3.2547739726,0.2,0,0.2083,99.6276,85.4513,0.6809,254.4334,-0.0011
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_118.jpg,-3.57430610125,0.2,0,0.2069,99.6252,85.4435,0.668,254.4664,0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_170.jpg,-3.57430610125,0.2,0,0.2069,99.6252,85.4435,0.668,254.4664,0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_218.jpg,-3.62141196998,0.2,0,0.2216,99.6214,85.4311,0.6523,254.2146,0.0016
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_319.jpg,-3.40744429468,0.2,0,0.2468,99.6116,85.3999,0.6242,253.9317,0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_365.jpg,-3.40744429468,0.2,0,0.2468,99.6116,85.3999,0.6242,253.9317,0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_406.jpg,-3.2446346539,0.2,0,0.2589,99.6055,85.3806,0.611,253.7392,-0.0004
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_506.jpg,-3.63382817745,0.2,0,0.2788,99.5972,85.3548,0.6009,253.8822,-0.0012
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_540.jpg,-3.63382817745,0.2,0,0.2788,99.5972,85.3548,0.6009,253.8822,-0.0012
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_570.jpg,-3.60801011629,0.2,0,0.2849,99.5921,85.3385,0.5981,253.9002,-0.0004
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_685.jpg,-3.40133537945,0.2,0,0.3092,99.5817,85.3059,0.5568,253.8967,0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_722.jpg,-3.40133537945,0.2,0,0.3092,99.5817,85.3059,0.5568,253.8967,0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_763.jpg,-3.46429055349,0.2,0,0.3182,99.5742,85.2825,0.5463,253.8817,0.0003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_792.jpg,-3.45140357162,0.2,0,0.3177,99.5703,85.2703,0.5445,253.9592,0.0
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_826.jpg,-3.65821454066,0.2,0,0.3165,99.5664,85.2581,0.5374,253.8739,0.0012
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_874.jpg,-3.50140414832,0.2,0,0.324,99.5607,85.24,0.514,253.7999,0.0035
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_923.jpg,-3.18649690639,0.2,0,0.3435,99.5565,85.227,0.515,253.7563,0.0019
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_956.jpg,-3.18649690639,0.2,0,0.3435,99.5565,85.227,0.515,253.7563,0.0019
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_33_59_985.jpg,-3.64902867816,0.2,0,0.3517,99.5499,85.2066,0.5269,253.8249,-0.0004
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_115.jpg,-4.0169349275,0.2,0,0.3844,99.5391,85.1725,0.5233,253.7977,-0.0004
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_150.jpg,-4.0169349275,0.2,0,0.3844,99.5391,85.1725,0.5233,253.7977,-0.0004
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_178.jpg,-3.73138871012,0.2,0,0.3737,99.53,85.1446,0.5138,253.5017,0.0007
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_213.jpg,-3.99463063879,0.2,0,0.3785,99.523,85.1233,0.5016,253.3442,0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_262.jpg,-4.09503425953,0.2,0,0.3904,99.5182,85.1086,0.5,253.3492,-0.0007
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_296.jpg,-4.09503425953,0.2,0,0.3904,99.5182,85.1086,0.5,253.3492,-0.0007
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_328.jpg,-4.02082764027,0.2,0,0.4035,99.5106,85.086,0.5029,253.1793,-0.0027
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_454.jpg,-4.3286183849,0.2,0,0.4187,99.4978,85.0474,0.5028,253.1679,-0.0017
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_482.jpg,-4.3286183849,0.2,0,0.4187,99.4978,85.0474,0.5028,253.1679,-0.0017
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_518.jpg,-4.2557978892,0.2,0,0.422,99.4874,85.0161,0.492,252.8905,0.0008
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_572.jpg,-4.27542170778,0.2,0,0.4437,99.4789,84.9912,0.5043,252.857,-0.002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_614.jpg,-4.30798071506,0.2,0,0.4301,99.4733,84.9752,0.4933,252.827,-0.0039
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_652.jpg,-4.30798071506,0.2,0,0.4301,99.4733,84.9752,0.4933,252.827,-0.0039
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_689.jpg,-4.45864251518,0.2,0,0.4474,99.4646,84.9496,0.5018,252.9767,-0.0053
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_723.jpg,-4.48733671866,0.2,0,0.4566,99.4559,84.9242,0.4965,252.8427,-0.003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_828.jpg,-4.37812874665,0.2,0,0.4666,99.4407,84.8799,0.5047,252.5569,0.0006
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_865.jpg,-4.37812874665,0.2,0,0.4666,99.4407,84.8799,0.5047,252.5569,0.0006
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_894.jpg,-4.29313081704,0.2,0,0.4896,99.4312,84.8528,0.5089,252.3486,0.0002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_930.jpg,-4.21370954176,0.2,0,0.493,99.4245,84.8339,0.5254,252.2121,-0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_00_977.jpg,-4.14176339369,0.2,0,0.4941,99.4144,84.8055,0.5367,252.2828,-0.0011
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_013.jpg,-4.14176339369,0.2,0,0.4941,99.4144,84.8055,0.5367,252.2828,-0.0011
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_039.jpg,-4.38598081884,0.2,0,0.507,99.4044,84.7773,0.5319,252.2723,-0.0007
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_077.jpg,-4.23561466922,0.2,0,0.5177,99.3974,84.7577,0.5396,252.1948,0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_139.jpg,-4.61753953004,0.2,0,0.5111,99.3906,84.7388,0.5276,252.0928,0.0003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_167.jpg,-4.61753953004,0.2,0,0.5111,99.3906,84.7388,0.5276,252.0928,0.0003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_200.jpg,-4.23642584611,0.2,0,0.5338,99.3764,84.6993,0.526,251.8447,-0.0001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_245.jpg,-4.25194937916,0.2,0,0.5369,99.369,84.6793,0.526,251.6507,-0.001
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_298.jpg,-4.19069085954,0.2,0,0.5393,99.3578,84.649,0.5216,251.2802,-0.002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_335.jpg,-4.19069085954,0.2,0,0.5393,99.3578,84.649,0.5216,251.2802,-0.002
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_364.jpg,-4.00499940569,0.2,0,0.5505,99.3502,84.6286,0.5166,251.143,-0.0047
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_398.jpg,-4.00109169161,0.2,0,0.5602,99.3385,84.5976,0.5124,250.9255,359.991
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_446.jpg,-4.36156876446,0.2,0,0.5668,99.3303,84.5763,0.516,250.8035,359.9873
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_506.jpg,-4.30282815847,0.2,0,0.5763,99.3181,84.5443,0.5146,250.7021,359.9828
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_542.jpg,-4.30282815847,0.2,0,0.5763,99.3181,84.5443,0.5146,250.7021,359.9828
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_571.jpg,-4.6737294855,0.2,0,0.586,99.3054,84.5114,0.5236,250.6047,359.9778
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_671.jpg,-4.72011738423,0.2,0,0.6034,99.2881,84.4672,0.5234,250.3093,359.9735
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_708.jpg,-4.72011738423,0.2,0,0.6034,99.2881,84.4672,0.5234,250.3093,359.9735
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_736.jpg,-4.96724940876,0.2,0,0.6183,99.2699,84.4217,0.5352,249.7899,359.9679
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_768.jpg,-5.33348895109,0.2,0,0.6124,99.2607,84.3992,0.5285,249.5541,359.9637
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_816.jpg,-5.50300052355,0.2,0,0.6376,99.2462,84.3642,0.537,249.1642,359.9561
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_865.jpg,-5.6521128761,0.2,0,0.6334,99.2363,84.3409,0.5367,248.9768,359.948
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_897.jpg,-5.6521128761,0.2,0,0.6334,99.2363,84.3409,0.5367,248.9768,359.948
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_924.jpg,-5.7033052406,0.2,0,0.6513,99.2207,84.3047,0.554,248.726,359.9371
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_01_962.jpg,-5.97298537385,0.2,0,0.655,99.2104,84.2811,0.549,248.4657,359.9293
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_014.jpg,-6.37779579632,0.2,0,0.6663,99.1943,84.2451,0.5426,247.9727,359.9174
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_047.jpg,-6.37779579632,0.2,0,0.6663,99.1943,84.2451,0.5426,247.9727,359.9174
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_072.jpg,-6.83136677616,0.2,0,0.6675,99.1835,84.2213,0.5315,247.7433,359.907
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_211.jpg,-7.58867242741,0.2,0,0.6885,99.1493,84.1477,0.5182,247.1305,359.8759
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_238.jpg,-7.58867242741,0.2,0,0.6885,99.1493,84.1477,0.5182,247.1305,359.8759
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_275.jpg,-7.65335431735,0.2,0,0.677,99.1256,84.0988,0.4873,246.7917,359.8521
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_313.jpg,-8.17635577116,0.2,0,0.7127,99.1069,84.0612,0.4788,246.3061,359.8327
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_364.jpg,-8.14148556651,0.2,0,0.7126,99.0942,84.0362,0.4692,246.0148,359.8203
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_403.jpg,-8.14148556651,0.2,0,0.7126,99.0942,84.0362,0.4692,246.0148,359.8203
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_431.jpg,-8.51523438821,0.2,0,0.7103,99.0747,83.9985,0.4504,245.5018,359.7986
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_465.jpg,-8.31461822223,0.2,0,0.7109,99.0613,83.9733,0.4388,245.2374,359.7845
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_513.jpg,-8.70315915384,0.2,0,0.7333,99.0405,83.9348,0.4296,244.7246,359.7621
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_545.jpg,-8.70315915384,0.2,0,0.7333,99.0405,83.9348,0.4296,244.7246,359.7621
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_570.jpg,-9.35821050065,0.2,0,0.7312,99.0266,83.9093,0.4172,244.4488,359.7497
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_716.jpg,-10.6783043894,0.2,0,0.749,98.983,83.8319,0.3858,243.4243,359.7137
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_746.jpg,-10.6783043894,0.2,0,0.749,98.983,83.8319,0.3858,243.4243,359.7137
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_778.jpg,-10.9491918619,0.2,0,0.7604,98.9527,83.7808,0.351,242.5076,359.6838
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_819.jpg,-11.4011210971,0.2,0,0.7656,98.9285,83.7421,0.3342,241.9441,359.6516
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_869.jpg,-12.0123018362,0.2,0,0.7628,98.9121,83.7165,0.3185,241.5663,359.6309
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_911.jpg,-12.0123018362,0.2,0,0.7628,98.9121,83.7165,0.3185,241.5663,359.6309
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_946.jpg,-12.3918259276,0.2,0,0.7752,98.8867,83.6779,0.2993,240.96,359.599
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_02_981.jpg,-13.1382805056,0.2,0,0.7883,98.8694,83.6522,0.2865,240.5069,359.5779
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_049.jpg,-13.5978112138,0.2,0,0.7818,98.8338,83.6008,0.2614,239.4564,359.54
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_102.jpg,-13.6099750064,0.2,0,0.7974,98.8059,83.5626,0.2402,238.5747,359.506
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_141.jpg,-13.6099750064,0.2,0,0.7974,98.8059,83.5626,0.2402,238.5747,359.506
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_179.jpg,-14.0210507957,0.2,0,0.8064,98.7772,83.5246,0.2182,237.7272,359.4709
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_211.jpg,-14.9340871582,0.2,0,0.8057,98.7576,83.4995,0.2017,237.1294,359.4471
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_249.jpg,-14.9574981419,0.2,0,0.8085,98.7275,83.4617,0.1831,236.3098,359.4144
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_299.jpg,-15.0,0.2,0,0.8205,98.7068,83.4368,0.1702,235.7038,359.3901
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_337.jpg,-15.0,0.2,0,0.8205,98.7068,83.4368,0.1702,235.7038,359.3901
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_370.jpg,-15.0,0.2,0,0.8274,98.6751,83.3997,0.1474,234.7641,359.3542
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_486.jpg,-15.0,0.2,0,0.8372,98.6202,83.3385,0.1136,233.2793,359.3003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_542.jpg,-15.0,0.2,0,0.8372,98.6202,83.3385,0.1136,233.2793,359.3003
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_571.jpg,-15.0,0.2,0,0.827,98.5751,83.2905,0.0762,232.1131,359.2663
C:\Users\Kalpit\Documents\KDocs\Robotics\Code\img\P1\2017_08_31_08_34_03_696.jpg,-15.0,0.2,0,0.8479,98.5046,83.2194,0.0325,230.356,359.2242
